github.com/AlDanial/cloc v 2.06  T=22.46 s (346.9 files/s, 62200.7 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                         blank        comment           code
./server/sonar-db-dao/src/it/java/org/sonar/db/issue/IssueMapperIT.java                                                                                                                                         78             25            471
./server/sonar-process/src/test/java/org/sonar/process/logging/LogbackHelperTest.java                                                                                                                          123             26            471
./server/sonar-webserver-common/src/it/java/org/sonar/server/common/github/config/GithubConfigurationServiceIT.java                                                                                            110             19            470
./server/sonar-webserver-webapi-v2/src/test/java/org/sonar/server/v2/api/user/controller/DefaultUserControllerTest.java                                                                                         84             19            463
./server/sonar-ce-task-projectanalysis/src/it/java/org/sonar/ce/task/projectanalysis/step/BuildComponentTreeStepIT.java                                                                                        100             26            459
./server/sonar-db-dao/src/main/java/org/sonar/db/purge/PurgeCommands.java                                                                                                                                       84             28            459
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/qualityprofile/builtin/BuiltInQProfileUpdateImplIT.java                                                                                            90             31            459
./server/sonar-server-common/src/main/java/org/sonar/server/security/SecurityStandards.java                                                                                                                     73             42            457
./server/sonar-server-common/src/main/java/org/sonar/server/issue/IssueFieldsSetter.java                                                                                                                        60             58            455
./server/sonar-process/src/test/java/org/sonar/process/cluster/hz/MockIMap.java                                                                                                                                104             20            453
./server/sonar-main/src/test/java/org/sonar/application/SchedulerImplTest.java                                                                                                                                 104             40            452
./server/sonar-telemetry/src/main/java/org/sonar/telemetry/legacy/TelemetryDataLoaderImpl.java                                                                                                                  69             19            452
./server/sonar-db-core/src/it/java/org/sonar/db/DatabaseUtilsIT.java                                                                                                                                            93             35            451
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/almintegration/ws/bitbucketserver/ImportBitbucketServerProjectActionIT.java                                                                        89             19            448
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/hotspot/ws/ListActionIT.java                                                                                                                       53             19            446
./server/sonar-ce-task-projectanalysis/src/test/java/org/sonar/ce/task/projectanalysis/qualitymodel/NewReliabilityAndSecurityRatingMeasuresVisitorTest.java                                                    100             38            445
./server/sonar-db-migration/src/test/java/org/sonar/server/platform/db/migration/sql/CreateTableBuilderTest.java                                                                                                64             19            445
./server/sonar-webserver-es/src/main/java/org/sonar/server/issue/index/IssueQueryFactory.java                                                                                                                   59             26            445
./sonar-ws/src/test/java/org/sonarqube/ws/client/HttpConnectorTest.java                                                                                                                                         96             35            444
./server/sonar-server-common/src/testFixtures/java/org/sonar/server/es/EsTester.java                                                                                                                            64             51            441
./sonar-scanner-engine/src/it/java/org/sonar/scanner/mediumtest/cpd/CpdMediumIT.java                                                                                                                            98             26            441
